Survived,Pclass,Age,SibSp,Parch,Fare,CabinMissing,FamilySize,IsAlone,FarePerPerson,Pclass_Fare,Age_Title,LogFare,LogAge,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U,AgeGroup_Teen,AgeGroup_Adult,AgeGroup_Senior
0,3,-0.5348911628688886,1,0,-0.5641087873940193,1,2,0,-0.5476058507246607,21.75,22.0,-0.884450804505842,-0.21441128597586506,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
1,1,0.6683917564561223,1,0,0.9425480546638041,0,2,0,0.5808979535718629,71.2833,0.0,1.3758930646351324,0.640402765438825,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
1,3,-0.23407043303763592,0,0,-0.548226529750121,1,1,1,-0.39604201258184907,23.775,0.0,-0.8025478579119842,0.045144866300543984,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,1,0.4427762090826827,1,0,0.5147082688618853,0,2,0,0.26044089100184115,53.1,0.0,1.0741233950445652,0.5108328898518398,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
0,3,0.4427762090826827,0,0,-0.5452853709271769,1,1,1,-0.39163608705444175,24.150000000000002,35.0,-0.7880629125377953,0.5108328898518398,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,3,-0.3092756154954491,0,0,-0.5356783697479123,1,1,1,-0.3772445719117185,25.374899999999997,25.0,-0.7421058710901699,-0.01594763973128568,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,1,1.8716746757811333,0,0,0.4855907965147383,0,1,1,1.1526408103018226,51.8625,54.0,1.0500242415540113,1.1968861334624432,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,3,-2.038994812025152,3,1,-0.23881662157639924,1,5,0,-0.5268098822352982,63.224999999999994,0.0,0.14057895220285974,-3.5116328014824925,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,3,-0.15886525057982273,0,2,-0.47273757093690794,1,3,0,-0.5445710492213827,33.3999,0.0,-0.4827210184416704,0.10401532767762588,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
1,2,-1.136532622531394,1,0,-0.027152009260873307,1,2,0,-0.14541886962123324,60.1416,0.0,0.49657049699399375,-0.9063402502909861,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
1,3,-1.8885844471095259,1,1,-0.3417571803794436,0,3,0,-0.47916714086560047,50.099999999999994,0.0,-0.08945784973475612,-2.6847290841825044,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,1,2.172495405612386,0,0,-0.10999386513144661,0,1,1,0.26044089100184115,26.55,0.0,0.37131944389592797,1.3105299284608571,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,3,-0.685301527784515,0,0,-0.5452853709271769,1,1,1,-0.39163608705444175,24.150000000000002,20.0,-0.7880629125377953,-0.36167269587366996,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,3,0.7435969389139355,1,5,0.0011819383758412065,1,7,0,-0.5178973243112858,93.82499999999999,39.0,0.5361711062385779,0.681386201981717,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,3,-1.136532622531394,0,0,-0.5498924021074366,1,1,1,-0.39853752880057264,23.5626,0.0,-0.8108423936907564,-0.9063402502909861,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
